id,zanr
63,Rock
63,...
64,Indie
64,Rock
65,Pop/Rock
65,Alternative/Indie
65,Rock
65,Alternative
65,Pop/Rock
66,Pop/Rock
66,Alternative/Indie
66,Rock
66,Alternative
66,Pop/Rock
66,...
67,International
68,Rock
68,Adult-Alternative
68,Singer-Songwriter
69,Indie
69,Rock
70,Country
70,Roots
70,Rock
70,Contemporary
70,Country
70,...
1,Indie
1,Rock
2,Alternative/Indie
2,Rock
2,Alternative
2,Pop/Rock
2,Indie
2,Rock
2,...
3,Pop/Rock
3,Alternative/Indie
3,Rock
3,Alternative
3,Pop/Rock
4,World
5,Rock
5,Experimental
6,R&B
6,Soul
6,Pop/Rock
7,Pop/Rock
7,Alternative/Indie
7,Rock
7,Post-Rock
7,...
8,Folk
8,Celtic
8,Pop/Rock
8,...
9,Pop/Rock
9,Alternative/Indie
9,Rock
9,Indie
9,Rock
9,...
10,Pop/Rock
10,Alternative/Indie
10,Rock
10,Experimental
10,Rock
11,Pop/Rock
12,Pop/Rock
12,Alternative/Indie
12,Rock
12,Alternative
12,Pop/Rock
13,Pop/Rock
13,Alternative/Indie
13,Rock
13,Alternative
13,Pop/Rock
13,...
14,Dance
14,Electronic
15,Indie
15,Rap
16,R&B
16,Soul
16,Retro-Soul
16,...
17,Indie
17,Rock
18,Indie
18,Rock
19,Rock
19,Folk
20,Rap
21,Electronic
21,Hip-Hop
22,Indie
22,Rock
23,Electronic
23,Pop/Rock
23,Alternative/Indie
23,Rock
23,...
24,Alternative/Indie
24,Rock
25,Indie
25,Rock
26,R&B
26,Pop/Rock
27,Pop/Rock
27,Alternative/Indie
27,Rock
27,Alternative
27,Pop/Rock
27,...
28,Pop/Rock
28,Alternative/Indie
28,Rock
29,Pop/Rock
29,Heavy
29,Metal
29,Punk/New
29,Wave
29,...
30,Adult
30,Alternative
31,Electronic
32,Electronic
32,Techno
32,Pop/Rock
32,...
33,Pop/Rock
33,Alternative/Indie
33,Rock
33,Indie
33,Rock
33,...
34,Rap
34,Pop/Rock
35,Pop/Rock
35,Alternative/Indie
35,Rock
35,Alternative
35,Pop/Rock
35,...
36,Pop/Rock
36,Alternative/Indie
36,Rock
37,Electronic
37,Club/Dance
38,Dance
38,Electronic
39,Indie
39,Rock
40,Pop/Rock
40,Alternative/Indie
40,Rock
40,American
40,Trad
40,Rock
41,Rock
41,Experimental
42,R&B
42,Alternative
42,R&B
43,Indie
43,Rock
44,Pop/Rock
44,Alternative/Indie
44,Rock
44,Rock
44,&
44,Roll
44,...
45,Country
45,Americana
45,Adult
45,Alternative
45,...
46,Pop/Rock
47,Indie
47,Rock
47,Pop
48,International
48,West
48,African
48,African
48,Traditions
48,...
49,Country
49,Pop/Rock
49,Alternative/Indie
49,Rock
49,...
50,Indie
50,Rock
51,Indie
51,Rock
51,Alternative
52,Rock
52,Pop
53,Rock
53,Electronic
53,Alternative
54,Rock
54,Pop
55,Rock
55,Pop
55,Alt-Country
56,Indie
56,Rock
57,Electronic
57,Rap
57,Pop/Rock
57,...
58,Indie
58,Rock
58,Alt-Country
59,Electronic
60,Pop/Rock
60,Alternative/Indie
