id,naslov,avtor,ocena_kritikov,leto,ocena_ljudi
265,Cross,Justice,81,2007,89
266,The Mouse And The Mask,DangerDoom,81,2005,86
267,Weightlifting,Trash Can Sinatras,81,2004,90
268,Movement,Gossip,81,2003,84
269,Morning Phase,Beck,81,2014,79
270,Researching the Blues,Redd Kross,81,2012,82
271,The Inheritors,James Holden,81,2013,77
272,Benjamin Booker,Benjamin Booker,81,2014,81
273,Life is Good,Nas,81,2012,86
274,RR7349,S U R V I V E,81,2016,75
275,Picaresque,The Decemberists,81,2005,85
276,Take Me to the Alley,Gregory Porter,81,2016,59
277,Psychic Chasms,Neon Indian,81,2009,87
278,They Want My Soul,Spoon,81,2014,85
279,Strands,Steve Hauschildt,81,2016,89
281,Avatar,Comets On Fire,81,2006,79
282,Motion Graphics,Motion Graphics,81,2016,76
283,Platform,Holly Herndon,81,2015,79
284,Your Future Our Clutter,The Fall,81,2010,84
285,"Punish, Honey",Vessel,81,2014,80
286,R Plus Seven,Oneohtrix Point Never,81,2013,85
287,Push the Sky Away,Nick Cave & the Bad Seeds,81,2013,84
288,Sea Island,Loscil,81,2014,82
289,L'Ami du Peuple,Owen,81,2013,74
290,The Violence,Darren Hayman & the Long Parliament,81,2012,90
291,Fur & Gold,Bat for Lashes,81,2007,84
292,Wilderness,Archer Prewitt,81,2005,85
293,99.9%,Kaytranada,81,2016,85
294,Lateness of Dancers,Hiss Golden Messenger,81,2014,78
295,The  Man Who Died in His Boat,Grouper,81,2013,77
296,Movement,Holly Herndon,81,2012,89
297,New Leaves,Owen,81,2009,82
298,I Speak Because I Can,Laura Marling,81,2010,90
299,Sycamore Meadows,Butch Walker,81,2008,86
300,Leaving Songs,Stuart A. Staples,81,2006,86
301,Moms,Menomena,81,2012,77
302,Potential,The Range,81,2016,76
303,Bright Like Neon Love,Cut Copy,81,2004,88
304,Sprinter,Torres,81,2015,79
305,Paramore,Paramore,81,2013,82
306,The BBC Sessions,Belle & Sebastian,81,2008,86
307,Monomania,Deerhunter,81,2013,82
308,All 6's and 7's,Tech N9ne,81,2011,84
309,Armchair Apocrypha,Andrew Bird,81,2007,91
